State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
48,193,Hamilton,TX,Texas,p63,ERCOT
29,139,Montgomery,MO,Missouri,p72,MISO_Central
20,31,Coffey,KS,Kansas,p53,SPP_South
20,109,Logan,KS,Kansas,p52,SPP_South
47,81,Hickman,TN,Tennessee,p92,SERTP
17,71,Henderson,IL,Illinois,p81,MISO_Central
42,87,Mifflin,PA,Pennsylvania,p122,PJM_East
40,17,Canadian,OK,Oklahoma,p50,SPP_South
49,27,Millard,UT,Utah,p25,NorthernGrid_South
16,77,Power,ID,Idaho,p16,NorthernGrid_East
48,5,Angelina,TX,Texas,p63,ERCOT
48,443,Terrell,TX,Texas,p61,ERCOT
38,65,Oliver,ND,North Dakota,p36,SPP_North
55,23,Crawford,WI,Wisconsin,p77,MISO_North
22,19,Calcasieu,LA,Louisiana,p58,MISO_South
21,193,Perry,KY,Kentucky,p110,PJM_East
5,123,St. Francis,AR,Arkansas,p85,MISO_South
55,111,Sauk,WI,Wisconsin,p77,MISO_North
13,119,Franklin,GA,Georgia,p94,SERTP
1,129,Washington,AL,Alabama,p90,SERTP
27,47,Freeborn,MN,Minnesota,p68,MISO_North
1,97,Mobile,AL,Alabama,p90,SERTP
21,5,Anderson,KY,Kentucky,p109,PJM_East
46,13,Brown,SD,South Dakota,p38,SPP_North
