State FIPS,County FIPS,County,State Abbr,State,ReEDS BA,Cambium GEA
42,111,Somerset,PA,Pennsylvania,p122,PJM_East
47,43,Dickson,TN,Tennessee,p92,SERTP
47,57,Grainger,TN,Tennessee,p92,SERTP
29,229,Wright,MO,Missouri,p84,MISO_Central
47,75,Haywood,TN,Tennessee,p92,SERTP
5,77,Lee,AR,Arkansas,p85,MISO_South
13,3,Atkinson,GA,Georgia,p94,SERTP
28,115,Pontotoc,MS,Mississippi,p88,SERTP
21,69,Fleming,KY,Kentucky,p109,PJM_East
17,155,Putnam,IL,Illinois,p81,MISO_Central
19,1,Adair,IA,Iowa,p70,MISO_North
20,95,Kingman,KS,Kansas,p53,SPP_South
38,59,Morton,ND,North Dakota,p36,SPP_North
18,147,Spencer,IN,Indiana,p107,MISO_Central
8,67,La Plata,CO,Colorado,p34,WestConnect_North
55,87,Outagamie,WI,Wisconsin,p76,MISO_North
26,5,Allegan,MI,Michigan,p103,MISO_Central
37,25,Cabarrus,NC,North Carolina,p97,SERTP
27,147,Steele,MN,Minnesota,p43,MISO_North
51,620,Franklin,VA,Virginia,p99,PJM_East
37,35,Catawba,NC,North Carolina,p97,SERTP
51,121,Montgomery,VA,Virginia,p118,PJM_East
55,91,Pepin,WI,Wisconsin,p46,MISO_North
29,7,Audrain,MO,Missouri,p72,MISO_Central
21,199,Pulaski,KY,Kentucky,p93,SERTP
46,21,Campbell,SD,South Dakota,p38,SPP_North
6,77,San Joaquin,CA,California,p9,CAISO
20,63,Gove,KS,Kansas,p52,SPP_South
46,89,McPherson,SD,South Dakota,p38,SPP_North
42,9,Bedford,PA,Pennsylvania,p122,PJM_East
42,61,Huntingdon,PA,Pennsylvania,p122,PJM_East
38,33,Golden Valley,ND,North Dakota,p36,SPP_North
48,199,Hardin,TX,Texas,p66,MISO_South
20,39,Decatur,KS,Kansas,p52,SPP_South
55,85,Oneida,WI,Wisconsin,p75,MISO_North
13,137,Habersham,GA,Georgia,p94,SERTP
55,101,Racine,WI,Wisconsin,p79,MISO_North
20,51,Ellis,KS,Kansas,p53,SPP_South
51,71,Giles,VA,Virginia,p118,PJM_East
36,41,Hamilton,NY,New York,p127,NYISO
40,89,McCurtain,OK,Oklahoma,p50,SPP_South
38,47,Logan,ND,North Dakota,p36,SPP_North
39,127,Perry,OH,Ohio,p112,PJM_East
18,175,Washington,IN,Indiana,p107,MISO_Central
48,11,Armstrong,TX,Texas,p48,SPP_South
30,69,Petroleum,MT,Montana,p20,NorthernGrid_East
27,65,Kanabec,MN,Minnesota,p43,MISO_North
13,279,Toombs,GA,Georgia,p94,SERTP
18,99,Marshall,IN,Indiana,p105,MISO_Central
42,125,Washington,PA,Pennsylvania,p115,PJM_East
51,570,Colonial Heights,VA,Virginia,p99,PJM_East
48,267,Kimble,TX,Texas,p64,ERCOT
44,9,Washington,RI,Rhode Island,p133,ISONE
21,11,Bath,KY,Kentucky,p109,PJM_East
40,21,Cherokee,OK,Oklahoma,p51,SPP_South
48,451,Tom Green,TX,Texas,p61,ERCOT
48,429,Stephens,TX,Texas,p63,ERCOT
24,9,Calvert,MD,Maryland,p123,PJM_East
37,179,Union,NC,North Carolina,p97,SERTP
37,117,Martin,NC,North Carolina,p98,SERTP
30,29,Flathead,MT,Montana,p17,NorthernGrid_East
37,65,Edgecombe,NC,North Carolina,p98,SERTP
39,19,Carroll,OH,Ohio,p112,PJM_East
48,439,Tarrant,TX,Texas,p63,ERCOT
49,17,Garfield,UT,Utah,p25,NorthernGrid_South
1,41,Crenshaw,AL,Alabama,p90,SERTP
5,113,Polk,AR,Arkansas,p56,SPP_South
20,149,Pottawatomie,KS,Kansas,p53,SPP_South
16,49,Idaho,ID,Idaho,p15,NorthernGrid_East
40,27,Cleveland,OK,Oklahoma,p50,SPP_South
17,3,Alexander,IL,Illinois,p81,MISO_Central
46,67,Hutchinson,SD,South Dakota,p38,SPP_North
12,119,Sumter,FL,Florida,p101,FRCC
39,133,Portage,OH,Ohio,p111,PJM_East
13,155,Irwin,GA,Georgia,p94,SERTP
22,83,Richland,LA,Louisiana,p86,MISO_South
6,101,Sutter,CA,California,p9,CAISO
30,15,Chouteau,MT,Montana,p18,NorthernGrid_East
27,117,Pipestone,MN,Minnesota,p44,MISO_North
46,73,Jerauld,SD,South Dakota,p38,SPP_North
48,379,Rains,TX,Texas,p63,ERCOT
30,37,Golden Valley,MT,Montana,p20,NorthernGrid_East
51,169,Scott,VA,Virginia,p118,PJM_East
40,73,Kingfisher,OK,Oklahoma,p50,SPP_South
16,23,Butte,ID,Idaho,p15,NorthernGrid_East
42,123,Warren,PA,Pennsylvania,p122,PJM_East
27,35,Crow Wing,MN,Minnesota,p43,MISO_North
20,153,Rawlins,KS,Kansas,p52,SPP_South
51,515,Bedford,VA,Virginia,p118,PJM_East
37,147,Pitt,NC,North Carolina,p98,SERTP
49,13,Duchesne,UT,Utah,p26,NorthernGrid_South
17,53,Ford,IL,Illinois,p83,MISO_Central
12,55,Highlands,FL,Florida,p101,FRCC
28,11,Bolivar,MS,Mississippi,p87,MISO_South
6,85,Santa Clara,CA,California,p9,CAISO
27,25,Chisago,MN,Minnesota,p43,MISO_North
13,239,Quitman,GA,Georgia,p94,SERTP
12,103,Pinellas,FL,Florida,p101,FRCC
51,775,Salem,VA,Virginia,p118,PJM_East
5,87,Madison,AR,Arkansas,p56,SPP_South
56,9,Converse,WY,Wyoming,p24,WestConnect_North
39,1,Adams,OH,Ohio,p112,PJM_East
6,91,Sierra,CA,California,p9,CAISO
46,27,Clay,SD,South Dakota,p38,SPP_North
40,67,Jefferson,OK,Oklahoma,p50,SPP_South
55,77,Marquette,WI,Wisconsin,p76,MISO_North
21,37,Campbell,KY,Kentucky,p109,PJM_East
31,97,Johnson,NE,Nebraska,p41,SPP_North
21,219,Todd,KY,Kentucky,p93,SERTP
5,91,Miller,AR,Arkansas,p85,MISO_South
47,79,Henry,TN,Tennessee,p92,SERTP
19,183,Washington,IA,Iowa,p70,MISO_North
45,89,Williamsburg,SC,South Carolina,p96,SERTP
47,107,McMinn,TN,Tennessee,p92,SERTP
